item,price,description
Paneer Tikka,250,Soft cottage cheese with spices
Veg Burger,120,Crispy patty with cheese
Masala Dosa,80,Served with sambar and chutney
Filter Coffee,40,Authentic South Indian brew
Pongal,60,Served with sambar and chutney
Vada,20,Served with sambar and chutney
Bonda,20,Served with sambar and chutney
Paneer Butter Masala,250,Served with sambar and chutney
Aloo Gobi,250,"Goes well with Paratha, Roti, Pulka"
Aloo Paratha,250,Served with Chole and Raitha
Paneer Kofta,250,Served with Chole and Raitha
Ice Cream,20,"Vellina, Strawberry, Chocolate"
